Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.456,5364.03869,-11227.92944,-177141.6428,-177004.9619,5314.730741,89653.42816,18252.74745,36287.25246
0.46,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165499.3344,-154042.009
0.464,3637.74641,-10496.73682,-177593.1034,-177607.0732,6545.440143,90675.70754,18273.57927,35875.62273
0.468,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165576.0679,-154098.313
0.472,5219.467606,-11092.54492,-177326.7376,-177203.6466,5421.505025,89756.87203,18296.60157,36247.17578
0.476,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165502.4636,-154043.7971
0.48,3785.759662,-10694.37095,-177374.7715,-177387.1991,6384.976969,90503.75557,18210.61441,35909.06094
0.484,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165573.0281,-154097.8884
0.488,5017.184319,-10861.85257,-177538.2745,-177422.8725,5659.282882,89974.71213,18392.93759,36204.4169
0.492,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165509.7056,-154049.4074
0.496,3998.928249,-10905.43847,-177159.636,-177166.8556,6176.703415,90288.15064,18157.75253,35971.35526
0.5,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165566.5684,-154093.5968
0.504,4775.003168,-10690.79467,-177739.8873,-177629.8049,5837.694506,90142.70784,18422.19602,36133.3607
0.508,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165519.518,-154056.4706
0.512,4244.149237,-11122.02688,-176968.9309,-176957.0621,5953.968281,90083.76629,18112.22203,36034.27542
0.516,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165555.3702,-154085.5502
0.52,4518.651011,-10556.01365,-177882.1338,-177790.8269,6005.556107,90304.15449,18448.59343,36054.01201
0.524,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165526.7376,-154061.6785
0.528,4486.822127,-11278.28792,-176798.4094,-176782.2715,5775.221381,89921.20205,18085.64581,36086.39968
0.532,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165548.4188,-154082.3763
0.536,4239.924757,-10352.47867,-178032.0469,-177969.2609,6260.745974,90539.58542,18509.81486,36005.59813
0.54,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165540.7969,-154072.6085
0.544,4746.728211,-11426.79291,-176674.6255,-176648.8539,5560.108192,89744.55622,18076.99568,36183.22744
0.548,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165537.0865,-154072.3403
0.552,3983.751414,-10280.5731,-178105.7406,-178065.9992,6391.503679,90657.31205,18489.98886,35951.32809
